Location name,Amount spent (KES)
Central Province,1016
Coast Province,431
Eastern Province,161
Nairobi,1134
North Eastern Province,≤100
Nyanza Province,≤100
Rift Valley Province,250
Unknown,≤100
Western Province,≤100
