Location name,Amount spent (EUR)
Alsace,667
Aquitaine,1045
Auvergne,326
Basse-Normandie,366
Bourgogne,395
Bretagne,890
Centre,745
Champagne-Ardenne,294
Corse,116
Franche-Comté,255
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,736
Languedoc-Roussillon,974
Limousin,190
Lorraine,813
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,868
New Caledonia,≤100
Nord-Pas-de-Calais,1267
Pays de la Loire,1080
Picardie,465
Poitou-Charentes,464
Provence-Alpes-Côte d'Azur,1865
Reunion Island,≤100
Rhône-Alpes,1779
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3349
