Location name,Amount spent (CAD)
Alberta,7998
British Columbia,12282
Manitoba,2071
New Brunswick,1342
Newfoundland and Labrador,1061
Northwest Territories,172
Nova Scotia,1686
Nunavut,117
Ontario,27438
Prince Edward Island,305
Quebec,15972
Saskatchewan,1767
Unknown,≤100
Yukon,127
