Location name,Amount spent (CZK)
Central Bohemian Region,7963
Hradec Králové Region,3369
Karlovy Vary Region,2079
Liberec Region,2414
Moravian-Silesian Region,7013
Olomouc Region,3863
Pardubice Region,3496
Plzeň Region,5067
Prague,14923
South Bohemian Region,3466
South Moravian Region,10643
Unknown,≤100
Vysočina Region,3023
Zlín Region,4078
Ústí nad Labem Region,5889
