Page ID,Page name,Disclaimer,Amount spent (SLL),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,21201,3
1057106817686105,RFI Mandenkan,These ads ran without a disclaimer,≤100,1
684480475094920,Discover Inner Mongolia,These ads ran without a disclaimer,≤100,1
361903161076410,TV-News24,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
195799657105195,SEGi University & Colleges,These ads ran without a disclaimer,≤100,1
2354017254707192,Learning English with Oxford,These ads ran without a disclaimer,≤100,1
103709948242540,Apostle Eklyn Ministries,These ads ran without a disclaimer,≤100,1
109562720823279,CGTN Sports Scene,These ads ran without a disclaimer,≤100,2
103612962631809,WeYone Global Brand,These ads ran without a disclaimer,≤100,2
