Location name,Amount spent (ZAR)
Eastern Cape,447
Free State,409
Gauteng,1477
KwaZulu-Natal,799
Limpopo,522
Mpumalanga,269
North West,183
Northern Cape,≤100
Unknown,≤100
Western Cape,1028
