Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,440
Bicol Region,2417
Cagayan Valley,1377
Calabarzon,8848
Caraga,2087
Central Luzon,5932
Central Visayas,5072
Cordillera Administrative Region,720
Davao Region,1928
Eastern Visayas,2112
Ilocos Region,2151
Metro Manila,16586
Mimaropa,2273
Northern Mindanao,3432
Soccsksargen,1609
Unknown,≤100
Western Visayas,6231
Zamboanga Peninsula,1310
