Location name,Amount spent (TRY)
Adana Province,1376
Adıyaman Province,191
Afyonkarahisar Province,327
Aksaray Province,131
Amasya Province,≤100
Ankara Province,2966
Antalya Province,2224
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,478
Ağrı Province,≤100
Balıkesir Province,442
Bartın Province,≤100
Batman Province,165
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,120
Burdur Province,≤100
Bursa Province,1381
Denizli Province,424
Diyarbakır Province,379
Düzce Province,163
Edirne Province,342
Elazığ Province,148
Erzincan Province,≤100
Erzurum Province,159
Eskişehir Province,451
Gaziantep Province,729
Giresun Province,177
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,887
Isparta Province,202
Istanbul Province,7734
Iğdır Province,≤100
Kahramanmaraş Province,419
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,751
Kilis Province,≤100
Kocaeli Province,500
Konya Province,876
Kütahya Province,166
Kırklareli Province,123
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,253
Manisa Province,507
Mardin Province,183
Mersin Province,847
Muğla Province,486
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,103
Ordu Province,275
Osmaniye Province,200
Rize Province,121
Sakarya Province,178
Samsun Province,559
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,137
Tekirdağ Province,390
Tokat Province,135
Trabzon Province,294
Tunceli Province,≤100
Unknown,≤100
Uşak Province,142
Van Province,182
Yalova Province,≤100
Yozgat Province,149
Zonguldak Province,195
Çanakkale Province,248
Çankırı Province,≤100
Çorum Province,156
İzmir Province,2237
Şanlıurfa Province,380
Şırnak Province,≤100
