Location name,Amount spent (USD)
Berat County,≤100
Dibër County,≤100
Durrës County,308
Elbasan County,237
Fier County,246
Gjirokastër County,227
Korçë County,273
Kukës County,≤100
Lezhë County,174
Shkodër County,147
Tirana County,1448
Unknown,≤100
Vlorë County,499
