Location name,Amount spent (ZAR)
Eastern Cape,900
Free State,522
Gauteng,2653
KwaZulu-Natal,1170
Limpopo,424
Mpumalanga,355
North West,273
Northern Cape,117
Unknown,≤100
Western Cape,3522
