Location name,Amount spent (INR)
Andaman and Nicobar Islands,518
Andhra Pradesh,53271
Arunachal Pradesh,1429
Assam,14350
Bihar,46088
Chandigarh,3299
Chhattisgarh,21429
Dadra and Nagar Haveli,691
Delhi,44028
Goa,8516
Gujarat,50804
Haryana,38998
Himachal Pradesh,12530
Jammu and Kashmir,12336
Jharkhand,15581
Karnataka,381864
Kerala,16598
Lakshadweep,≤100
Madhya Pradesh,66474
Maharashtra,170931
Manipur,1818
Meghalaya,1948
Mizoram,425
Nagaland,1207
Odisha,14069
Puducherry,1304
Punjab region,30519
Rajasthan,129726
Sikkim,663
Tamil Nadu,52812
Telangana,56850
Tripura,2037
Unknown,≤100
Uttar Pradesh,101469
Uttarakhand,12325
West Bengal,40368
