Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,165
Berane Municipality,≤100
Bijelo Polje Municipality,177
Budva Municipality,178
Danilovgrad Municipality,≤100
Herceg Novi Municipality,107
Kolašin Municipality,≤100
Nikšić Municipality,295
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,108
Plužine Municipality,≤100
Podgorica Capital City,1070
Rožaje Municipality,106
Tivat Municipality,151
Ulcinj Municipality,174
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
