Location name,Amount spent (ZAR)
Eastern Cape,499
Free State,146
Gauteng,2181
KwaZulu-Natal,656
Limpopo,159
Mpumalanga,161
North West,149
Northern Cape,≤100
Unknown,≤100
Western Cape,6664
