Location name,Amount spent (TRY)
Adana Province,2277
Adıyaman Province,158
Afyonkarahisar Province,291
Aksaray Province,192
Amasya Province,136
Ankara Province,3502
Antalya Province,2282
Ardahan Province,≤100
Artvin Province,103
Aydın Province,633
Ağrı Province,≤100
Balıkesir Province,2403
Bartın Province,≤100
Batman Province,178
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,149
Burdur Province,111
Bursa Province,1929
Denizli Province,622
Diyarbakır Province,421
Düzce Province,407
Edirne Province,219
Elazığ Province,150
Erzincan Province,≤100
Erzurum Province,241
Eskişehir Province,502
Gaziantep Province,899
Giresun Province,233
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1012
Isparta Province,193
Istanbul Province,16206
Iğdır Province,≤100
Kahramanmaraş Province,457
Karabük Province,114
Karaman Province,116
Kars Province,≤100
Kastamonu Province,148
Kayseri Province,547
Kilis Province,≤100
Kocaeli Province,756
Konya Province,981
Kütahya Province,226
Kırklareli Province,181
Kırıkkale Province,107
Kırşehir Province,≤100
Malatya Province,241
Manisa Province,788
Mardin Province,215
Mersin Province,1178
Muğla Province,1198
Muş Province,≤100
Nevşehir Province,111
Niğde Province,144
Ordu Province,365
Osmaniye Province,218
Rize Province,156
Sakarya Province,318
Samsun Province,1018
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,189
Tekirdağ Province,453
Tokat Province,256
Trabzon Province,365
Tunceli Province,≤100
Unknown,≤100
Uşak Province,188
Van Province,217
Yalova Province,136
Yozgat Province,129
Zonguldak Province,8383
Çanakkale Province,516
Çankırı Province,≤100
Çorum Province,209
İzmir Province,2813
Şanlıurfa Province,504
Şırnak Province,131
