Location name,Amount spent (MXN)
Aguascalientes,6577
Baja California,36354
Baja California Sur,4270
Campeche,30846
Chiapas,17706
Chihuahua,35086
Coahuila de Zaragoza,17848
Colima,6728
Distrito Federal,130476
Durango,4840
Guanajuato,33764
Guerrero,14654
Hidalgo,7325
Jalisco,58439
Michoacán de Ocampo,42965
Morelos,16812
Nayarit,4115
Nuevo León,97325
Oaxaca,22817
Puebla,50290
Querétaro Arteaga,12661
Quintana Roo,35106
San Luis Potosi,14994
Sinaloa,18350
Sonora,22349
State of Mexico,45684
Tabasco,10102
Tamaulipas,34750
Tlaxcala,3496
Unknown,≤100
Veracruz,35276
Yucatán,22241
Zacatecas,4223
