Location name,Amount spent (DKK)
Capital Region of Denmark,50259
Central Denmark Region,27629
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,11272
Region of Southern Denmark,22260
Unknown,≤100
Zealand Region,14710
