Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
102268322635915,The Finance Daily,The Finance Daily,2848,6
740116816003959,Western Cape Government,Western Cape Government,1937,41
342643596115773,Safely Home by Western Cape Government,Safely Home by Western Cape Government,1521,1
144985128871748,City of Cape Town,City of Cape Town,985,8
325113820874966,OUTA - Organisation Undoing Tax Abuse,Organisation Undoing Tax Abuse (OUTA),764,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,636,2
102265308016316,Al Jama-ah,Al Jama-ah,509,3
116657351312927,Pledge To Vote SA,Pledge to Vote,490,16
1742410059361710,AwakeMzansi,Awake Mzansi,398,1
2145594122138312,Action Society,Action Society,305,18
6011868110,Democratic Alliance,Democratic Alliance,289,1
119736861394881,Financial Mail,BusinessLIVE,267,10
106172744063430,The Daily Friend,The Daily Friend,248,18
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,184,18
296609266622,Regenesys Business School,These ads ran without a disclaimer,182,1
104369734635972,eusebius_mckaiser,These ads ran without a disclaimer,150,1
181204251979581,NEASA,National Employers' Association of South Africa,122,3
817419378298114,Herman Mashaba,ActionSA,110,1
141100792595323,Community Chest Durban,Gordon Mc Donald,107,2
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,103,1
112315630440653,Cape Independence Advocacy Group,Cape Independence Advocacy Group,101,1
112933978402440,Zackie2024,ZA2024,≤100,1
530927007388252,Vrye Weekblad,Vrye Weekblad (Nuwe Vrye Weekblad Mediagroep),≤100,1
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,≤100,2
446648162438519,Thisisacumen,Acumen Media Management,≤100,1
109959451227969,Namakwa Civic Movement,Namakwa Civic Movement,≤100,1
153698181363705,Democratic Alliance Eastern Cape,Democratic Alliance,≤100,1
2086579854976264,"Andrew Whitfield, MP",Democratic Alliance,≤100,1
337719597523,Mambaonline.com,MambaOnline cc,≤100,1
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100,5
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,≤100,1
286506558722350,Inside Politics,Inside Politics,≤100,1
1779143039030790,Councillor Lodewyk J Coetzee - Mossel Bay Ward 8,"Coetzee, Lodewyk Juan",≤100,1
153911331339003,ACDP Western Cape,African Christian Democratic Party,≤100,1
614441158766955,Vote Dr Sipho P. Malapane And The Independent Campaign 2024,Sipho Pienaar Malapane,≤100,1
101051196020136,Democratic Alliance Durbanville / Blaauwberg 2 Constituency,Democratic Alliance Durbanville / Blaauwberg 2 Constituency,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
103098539382588,samitamba_,These ads ran without a disclaimer,≤100,1
103190279412794,Geeky Cap,These ads ran without a disclaimer,≤100,3
102263001696586,גרין אקדמי- בית ספר מקוון ללימודי קיימות וסביבה,These ads ran without a disclaimer,≤100,1
107865155194550,The Mojo,These ads ran without a disclaimer,≤100,1
100449828606894,sawa.organization,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,1
115393638502087,CPHI,These ads ran without a disclaimer,≤100,1
44409199155,Amazon Conservation Team,These ads ran without a disclaimer,≤100,1
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,1
105126316217505,William D. Hinn Ministries,These ads ran without a disclaimer,≤100,2
