Location name,Amount spent (SEK)
Blekinge County,3857
Dalarna County,7797
Gotland County,1743
Gävleborg County,8596
Halland County,7826
Jämtland County,3996
Jönköping County,9005
Kalmar County,5890
Kronoberg County,4733
Norrbotten County,7868
Skåne County,36726
Stockholm County,70333
Södermanland County,7481
Unknown,≤100
Uppsala County,10859
Värmland County,7189
Västerbotten County,7686
Västernorrland County,6858
Västmanland County,7717
Västra Götaland County,52551
Örebro County,8299
Östergötland County,12054
