Location name,Amount spent (USD)
Azuay Province,412
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,660
Cotopaxi Province,≤100
El Oro Province,802
Esmeraldas Province,206
Galápagos Province,≤100
Guayas Province,1223
Imbabura Province,160
Loja Province,≤100
Los Ríos Province,650
Manabí Province,785
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,679
Santa Elena Province,≤100
Santo Domingo de los Tsáchilas Province,1007
Sucumbíos Province,≤100
Tungurahua Province,182
Zamora-Chinchipe Province,≤100
