Location name,Amount spent (AUD)
Australian Capital Territory,660
Jervis Bay Territory,≤100
New South Wales,13462
Northern Territory,281
Queensland,5802
South Australia,2087
Tasmania,912
Unknown,≤100
Victoria,7596
Western Australia,3204
