Location name,Amount spent (GTQ)
Alta Verapaz Department,1589
Baja Verapaz Department,650
Chimaltenango Department,1143
Chiquimula Department,735
El Progreso Department,347
Escuintla Department,2330
Guatemala Department,40495
Huehuetenango Department,3729
Izabal Department,1450
Jalapa Department,510
Jutiapa Department,1136
Petén Department,1152
Quetzaltenango Department,6266
Quiché Department,1479
Retalhuleu Department,808
Sacatepéquez Department,1536
San Marcos Department,6313
Santa Rosa Department,617
Sololá Department,1115
Suchitepéquez Department,1186
Totonicapán Department,929
Unknown,≤100
Zacapa Department,498
