Location name,Amount spent (MXN)
Aguascalientes,16718
Baja California,48507
Baja California Sur,9476
Campeche,23944
Chiapas,59181
Chihuahua,49457
Coahuila de Zaragoza,38650
Colima,11272
Distrito Federal,175784
Durango,15404
Guanajuato,81028
Guerrero,32900
Hidalgo,29713
Jalisco,162321
Michoacán de Ocampo,75525
Morelos,44473
Nayarit,10713
Nuevo León,138522
Oaxaca,49508
Puebla,84003
Querétaro Arteaga,30297
Quintana Roo,47007
San Luis Potosi,39157
Sinaloa,34944
Sonora,35516
State of Mexico,144171
Tabasco,22129
Tamaulipas,68714
Tlaxcala,11657
Unknown,≤100
Veracruz,78247
Yucatán,45612
Zacatecas,19850
