Location name,Amount spent (VND)
An Giang Province,10707
Bà Rịa–Vũng Tàu Province,24048
Bình Dương Province,32383
Bình Phước Province,14227
Bình Thuận Province,12792
Bình Định Province,11740
Bạc Liêu Province,3782
Bắc Giang Province,17073
Bắc Kạn Province,4942
Bắc Ninh Province,158175
Bến Tre Province,14429
Cao Bằng Province,5642
Cà Mau Province,5262
Cần Thơ,20959
Da Nang,17286
Gia Lai Province,8983
Haiphong,21542
Ho Chi Minh City,229259
Hà Giang Province,3172
Hà Nam Province,7998
Hà Tĩnh Province,20787
Hòa Bình Province,6377
Hưng Yên Province,9848
Hải Dương Province,22852
Hậu Giang Province,2855
Khánh Hòa Province,24274
Kiên Giang Province,18256
Kon Tum Province,3392
Lai Châu Province,1659
Long An Province,14680
Lào Cai Province,6160
Lâm Đồng Province,18388
Lạng Sơn Province,10213
Nam Định Province,18596
Nghệ An Province,79150
Ninh Bình Province,9444
Ninh Thuận Province,5403
Phú Thọ Province,15844
Phú Yên Province,7340
Quảng Bình Province,8397
Quảng Nam Province,14104
Quảng Ngãi Province,9323
Quảng Ninh Province,12940
Quảng Trị Province,6930
Sóc Trăng Province,4623
Sơn La Province,7191
Thanh Hóa Province,28491
Thái Bình Province,19166
Thái Nguyên Province,13204
Thừa Thiên–Huế Province,14017
Tiền Giang Province,19693
Trà Vinh Province,4071
Tuyên Quang Province,7335
Tây Ninh Province,9660
Vĩnh Long Province,5370
Vĩnh Phúc Province,7335
Yên Bái Province,6799
Điện Biên Province,4207
Đắk Lắk Province,180625
Đắk Nông Province,9141
Đồng Nai Province,42205
Đồng Tháp Province,7319
