Location name,Amount spent (TWD)
Changhua,12071
Chiayi,2503
Hsinchu,5398
Hsinchu City,8549
Hualien,4489
Kaohsiung,39377
Keelung City,5437
Kinmen,764
Lienchiang,≤100
Miaoli,6119
Nantou,5788
New Taipei City,62968
Penghu,1034
Pingtung,10715
Taichung,48187
Tainan,27600
Taipei,46498
Taitung,3737
Taoyuan City,39847
Unknown,6522
Yilan,4297
Yunlin,6953
