Location name,Amount spent (SEK)
Blekinge County,3252
Dalarna County,6818
Gotland County,1537
Gävleborg County,7055
Halland County,7147
Jämtland County,3222
Jönköping County,8003
Kalmar County,4988
Kronoberg County,4116
Norrbotten County,6155
Skåne County,33055
Stockholm County,67723
Södermanland County,6924
Unknown,≤100
Uppsala County,10126
Värmland County,7635
Västerbotten County,6351
Västernorrland County,5420
Västmanland County,6891
Västra Götaland County,49247
Örebro County,7625
Östergötland County,11298
