Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
115835521825983,UNHCR Canada,UNHCR Canada,7247,134
167800183238142,YourAlberta (Government of Alberta),Government of Alberta,6322,51
261752512263,Canadian Red Cross,Canadian Red Cross,3617,17
254985577276,Humanitarian Coalition/ Coalition Humanitaire,Humanitarian Coalition/ Coalition Humanitaire,3597,18
163336718421,PSAC - AFPC,PSAC - AFPC,2757,49
113297740077607,Canadian Energy Centre,Canadian Energy Centre,2146,42
194782249201,Canadian Association of Petroleum Producers (CAPP),Canadian Association of Petroleum Producers,1984,75
6319213302,Heart & Stroke,Heart & Stroke,1659,39
154462904588700,Enbridge Gas,Enbridge Gas,1395,99
2112106495731697,Wild First,Canadian Coastal Research Society,1207,35
268400032839,Croix-Rouge canadienne,Croix-Rouge canadienne,1149,18
1097840090260804,National Police Federation,National Police Federation,1043,98
168617319831578,Nature Canada,Nature Canada,973,1
172145722975250,PressProgress,PressProgress,962,88
203652059653094,Government of British Columbia,Government of British Columbia,892,7
155609655007428,United Conservative Party of Alberta,United Conservative Party of Alberta,831,4
53321777320,Coeur + AVC,Coeur + AVC,739,26
182645321760265,Ville de Montréal,Ville de Montréal,737,3
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,704,30
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,684,34
139019864276,Oxfam Canada,Oxfam Canada,678,28
52543970197,Environmental Defence Canada,Environmental Defence,669,10
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,615,48
163261390365324,Elementary Educators,Elementary Educators,611,20
5794733873,David Suzuki Foundation,David Suzuki Foundation,590,54
40155481542,ROMEA,These ads ran without a disclaimer,584,1
109045051805492,Made The Canadian Way,Canadian Energy Centre,575,4
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,524,12
625254780822339,CUPE Manitoba,CUPE MB,519,10
177681485609462,Radio-Canada,Radio-Canada,485,38
117109432079,CAMH Foundation,CAMH Foundation,482,38
633812813408377,Elections Canada,Elections Canada,481,12
27234020592,UNICEF Canada,UNICEF Canada,459,12
54125409458,Oxfam-Québec,Oxfam-Québec,429,4
1534982756793690,Foodvisor,These ads ran without a disclaimer,392,3
146592973368,Sunnybrook Health Sciences Centre,Sunnybrook Foundation,383,33
107670711947328,Only One CA,"Only One, Inc.",379,16
19750184960,Greenpeace Canada,Greenpeace Canada,363,202
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,362,5
394745970602999,The Council of Canadians,The Council of Canadians,348,41
107385241806,Plan International Canada,Plan International Canada,340,43
112554280322795,Kivalliq Hydro-Fibre Link,Kivalliq Hydro-Fibre Link,332,4
386234648495459,Home Care Ontario,Home Care Ontario,330,15
104853517861788,Surrey’s Say on Policing,National Police Federation,319,13
336963316348550,Ucore Rare Metals Inc.,Ucore Rare Metals Inc.,316,1
114849617772737,Care2 Canada,Press Pause Collective,300,13
281999881613,World Vision Canada,World Vision Canada,298,7
152467601467262,BMO Groupe financier,BMO Financial Group,294,10
111064284385333,Notjustajob.ca,NotJustAJob.ca,294,15
177741812241442,SCFP-Québec,le SCFP,293,33
104386908631938,Pathways Alliance,Pathways Alliance,292,6
176256900912,Saskatchewan Party,The Saskatchewan Party,288,7
35715544220,Stand.earth,Stand.earth,276,4
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,272,200
7522587804,Green Party of Ontario,Green Party of Ontario,258,5
250592478295316,C2C Journal,C2C Journal,252,8
33730130515,Metro Vancouver,Metro Vancouver,250,24
102794729214729,Avoid the Shock,Insurance Bureau of Canada,248,7
652812671407912,Selam Debs,Selam Debs,244,33
124239144255718,City of Calgary – Your Local Government,City of Calgary – Your Local Government,227,2
190502667652613,Canada’s NDP / Le NPD du Canada,Canada’s NDP / Le NPD du Canada,207,21
