Location name,Amount spent (GTQ)
Alta Verapaz Department,1229
Baja Verapaz Department,290
Chimaltenango Department,883
Chiquimula Department,688
El Progreso Department,265
Escuintla Department,1239
Guatemala Department,22493
Huehuetenango Department,1436
Izabal Department,850
Jalapa Department,505
Jutiapa Department,604
Petén Department,726
Quetzaltenango Department,2487
Quiché Department,891
Retalhuleu Department,550
Sacatepéquez Department,1034
San Marcos Department,2828
Santa Rosa Department,430
Sololá Department,461
Suchitepéquez Department,816
Totonicapán Department,519
Unknown,≤100
Zacapa Department,500
