Location name,Amount spent (VND)
An Giang Province,3339
Bà Rịa–Vũng Tàu Province,2886
Bình Dương Province,3070
Bình Phước Province,2340
Bình Thuận Province,2463
Bình Định Province,2330
Bạc Liêu Province,1244
Bắc Giang Province,8796
Bắc Kạn Province,1071
Bắc Ninh Province,172603
Bến Tre Province,3640
Cao Bằng Province,1291
Cà Mau Province,2262
Cần Thơ,3104
Da Nang,4910
Gia Lai Province,1433
Haiphong,12083
Ho Chi Minh City,22456
Hà Giang Province,1549
Hà Nam Province,3337
Hà Tĩnh Province,8037
Hòa Bình Province,3211
Hưng Yên Province,15457
Hải Dương Province,8668
Hậu Giang Province,579
Khánh Hòa Province,3025
Kiên Giang Province,4617
Kon Tum Province,903
Lai Châu Province,676
Long An Province,3789
Lào Cai Province,2862
Lâm Đồng Province,2605
Lạng Sơn Province,3130
Nam Định Province,5870
Nghệ An Province,73449
Ninh Bình Province,3534
Ninh Thuận Province,1000
Phú Thọ Province,5392
Phú Yên Province,1769
Quảng Bình Province,2670
Quảng Nam Province,2364
Quảng Ngãi Province,1679
Quảng Ninh Province,7565
Quảng Trị Province,2314
Sóc Trăng Province,1115
Sơn La Province,3311
Thanh Hóa Province,11900
Thái Bình Province,5938
Thái Nguyên Province,7809
Thừa Thiên–Huế Province,2633
Tiền Giang Province,2733
Trà Vinh Province,1579
Tuyên Quang Province,2978
Tây Ninh Province,2667
Vĩnh Long Province,1439
Vĩnh Phúc Province,6862
Yên Bái Province,2629
Điện Biên Province,2482
Đắk Lắk Province,144709
Đắk Nông Province,5562
Đồng Nai Province,6561
Đồng Tháp Province,1986
