Location name,Amount spent (PLN)
Greater Poland Voivodeship,9091
Kuyavian-Pomeranian Voivodeship,4960
Lesser Poland Voivodeship,8116
Lower Silesian Voivodeship,8271
Lublin Voivodeship,4218
Lubusz Voivodeship,2778
Masovian Voivodeship,16059
Opole Voivodeship,1919
Podkarpackie Voivodeship,4267
Podlaskie Voivodeship,2303
Pomeranian Voivodeship,5850
Silesian Voivodeship,9760
Unknown,≤100
Warmian-Masurian Voivodeship,3557
West Pomeranian Voivodeship,4467
Łódź Voivodeship,5735
Świętokrzyskie Voivodeship,2508
