Location name,Amount spent (VND)
An Giang Province,30512
Bà Rịa–Vũng Tàu Province,30472
Bình Dương Province,55278
Bình Phước Province,17953
Bình Thuận Province,30960
Bình Định Province,28359
Bạc Liêu Province,11336
Bắc Giang Province,69848
Bắc Kạn Province,9472
Bắc Ninh Province,70891
Bến Tre Province,18150
Cao Bằng Province,90419
Cà Mau Province,12870
Cần Thơ,28120
Da Nang,29560
Gia Lai Province,21510
Haiphong,30777
Ho Chi Minh City,180214
Hà Giang Province,7296
Hà Nam Province,16213
Hà Tĩnh Province,33596
Hòa Bình Province,14714
Hưng Yên Province,20030
Hải Dương Province,41902
Hậu Giang Province,8775
Khánh Hòa Province,27542
Kiên Giang Province,19343
Kon Tum Province,9534
Lai Châu Province,4108
Long An Province,23987
Lào Cai Province,11676
Lâm Đồng Province,29342
Lạng Sơn Province,18285
Nam Định Province,35627
Nghệ An Province,94457
Ninh Bình Province,19917
Ninh Thuận Province,10123
Phú Thọ Province,32557
Phú Yên Province,21707
Quảng Bình Province,19295
Quảng Nam Province,35167
Quảng Ngãi Province,26766
Quảng Ninh Province,28073
Quảng Trị Province,13997
Sóc Trăng Province,13722
Sơn La Province,12260
Thanh Hóa Province,72284
Thái Bình Province,89025
Thái Nguyên Province,125951
Thừa Thiên–Huế Province,36482
Tiền Giang Province,24948
Trà Vinh Province,16510
Tuyên Quang Province,18443
Tây Ninh Province,28054
Unknown,≤100
Vĩnh Long Province,17364
Vĩnh Phúc Province,25039
Yên Bái Province,14442
Điện Biên Province,9394
Đắk Lắk Province,122419
Đắk Nông Province,10227
Đồng Nai Province,76730
Đồng Tháp Province,25362
