Location name,Amount spent (UYU)
Artigas Department,273
Canelones Department,661
Cerro Largo Department,265
Colonia Department,343
Durazno Department,135
Flores Department,≤100
Florida Department,144
Lavalleja Department,127
Maldonado Department,367
Montevideo Department,3106
Paysandú Department,1451
Rivera Department,1037
Rocha Department,196
Río Negro Department,133
Salto Department,338
San José Department,135
Soriano Department,171
Tacuarembó Department,222
Treinta y Tres Department,778
Unknown,≤100
