Location name,Amount spent (TRY)
Adana Province,4842
Adıyaman Province,128
Afyonkarahisar Province,317
Aksaray Province,161
Amasya Province,130
Ankara Province,2064
Antalya Province,1878
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,441
Ağrı Province,≤100
Balıkesir Province,589
Bartın Province,102
Batman Province,133
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,115
Burdur Province,109
Bursa Province,1441
Denizli Province,419
Diyarbakır Province,303
Düzce Province,647
Edirne Province,140
Elazığ Province,130
Erzincan Province,≤100
Erzurum Province,156
Eskişehir Province,387
Gaziantep Province,724
Giresun Province,208
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1609
Isparta Province,165
Istanbul Province,11357
Iğdır Province,≤100
Kahramanmaraş Province,425
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,121
Kayseri Province,532
Kilis Province,≤100
Kocaeli Province,476
Konya Province,869
Kütahya Province,212
Kırklareli Province,170
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,302
Manisa Province,504
Mardin Province,178
Mersin Province,1566
Muğla Province,536
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,130
Ordu Province,342
Osmaniye Province,245
Rize Province,133
Sakarya Province,250
Samsun Province,1300
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,153
Tekirdağ Province,300
Tokat Province,277
Trabzon Province,411
Tunceli Province,≤100
Unknown,≤100
Uşak Province,147
Van Province,149
Yalova Province,≤100
Yozgat Province,163
Zonguldak Province,1565
Çanakkale Province,412
Çankırı Province,≤100
Çorum Province,170
İzmir Province,1931
Şanlıurfa Province,478
Şırnak Province,≤100
