Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1394
Bicol Region,4453
Cagayan Valley,3504
Calabarzon,19468
Caraga,2323
Central Luzon,12978
Central Visayas,8438
Cordillera Administrative Region,2428
Davao Region,6636
Eastern Visayas,4207
Ilocos Region,5752
Metro Manila,26600
Mimaropa,3191
Northern Mindanao,4742
Soccsksargen,4349
Unknown,≤100
Western Visayas,10567
Zamboanga Peninsula,3354
