Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,7513,170
102292348146435,The Uluru Statement from the Heart,"Indigenous Law Centre, UNSW",2836,4
182564410468,Australia for UNHCR,Australia for UNHCR,2415,121
162747001109183,TWU Members First,TWU Members First Team,1839,17
494820897261439,Bank Australia,Bank Australia,1580,63
514475628623089,Our Watch,Our Watch,1497,3
710266392358023,Future Super,Future Super,1424,29
213476079972,Essential Workers Deserve Better,Mark Morey,1322,42
10113538711,WWF-Australia,WWF-Australia,1262,49
575557119153505,Department of Planning and Environment,"NSW Department of Planning, Industry and Environment",1158,7
117241141903,Barnardos Australia,Barnardos Australia,1108,7
92824008332,Plan International Australia,Plan International Australia,1082,48
101791315693,Destiny Rescue,Destiny Rescue,1056,20
447447719391089,Health Care Providers Association,Health Care Providers Association,973,10
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,960,19
1776727752614025,Glencore,Glencore Australia,960,2
177072498997234,NSW Electoral Commission,NSW Electoral Commission,956,22
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,838,12
316480331783930,Australian Unions,Australian Unions,775,83
161854162881,Greenfleet,Greenfleet,667,40
103653191525,Ben & Jerry's,Ben & Jerry's,650,2
100317645636097,UniSuper,UniSuper,557,14
191570179167,Catherine Hamlin Fistula Foundation,Catherine Hamlin Fistula Foundation,529,8
89794331215,Oxfam,Oxfam Australia,520,50
11775531229,The Chaser,The Chaser,436,8
299753643444311,AEC,Australian Electoral Commission,429,25
10852627380,World Animal Protection Australia,World Animal Protection Australia,410,11
231341250224498,Australian Ethical Investment,Australian Ethical Investment,390,69
59024478936,Monash University,Monash University,372,19
149648047339,Save the Children Australia,Save the Children Australia,344,11
104910384328602,Binge,Streamotion Pty Ltd,318,1
504855933190931,Time for Change - Change Aged Care,United Workers Union,310,69
345960425540557,The Climate Council,The Climate Council,308,65
1724412521193582,Communities Tasmania,Department of Communities Tasmania,300,3
49453745631,Amnesty International Australia,Amnesty International Australia,299,7
126755754702938,Respect Victoria,Respect Victoria,298,10
281530749293959,Rainforest 4,Rainforest 4 Foundation Ltd,279,5
104763418516972,Flash,Streamotion Pty Ltd,264,2
154796877889890,The Hospital Research Foundation Group,The Hospital Research Foundation Group,260,8
104946487519114,Hon Nick Goiran MLC,Office of Hon Nick Goiran MLC,247,1
694832627392516,Prime Super,Prime Super,242,147
159487260807787,Tindo Solar,Tindo Solar,239,4
307014179414836,David Speirs MP,South Australian Liberals,231,3
581606621934473,International Justice Mission,IJM Australia with Facebook ad credits,224,4
157812980921536,Environmental Defenders Office,Environmental Defenders Office,219,30
200819325600,ActionAid Australia,ActionAid Australia,218,34
157481181070130,Indigenous Employment Australia,Access,210,89
329777267205680,ACT Government,ACT Government,210,18
879712192044319,Animal Justice Party NSW,Animal Justice Party NSW,207,23
341910905847062,Asylum Seeker Resource Centre (ASRC),Asylum Seeker Resource Centre (ASRC),187,16
105084998845350,BPH Energy,BPH ENERGY LTD,179,50
8013404017,Crikey,Private Media,179,53
1483396328456198,Acciona.Australia,ACCIONA Australia,164,16
231952773568442,Berry Street,Berry Street,164,8
1606513883009154,Kerrynne Liddle - Liberal Senator for SA,Senator Kerrynne Liddle,153,5
352953834815624,Jason Wood MP,Jason Wood MP,152,3
276061352415442,The Australian Institute of Architects,The Australian Institute of Architects,145,4
272757739102,Engineers Australia,Engineers Australia,135,5
134195116658191,UNSW Law & Justice,UNSW Sydney,135,2
106802658458781,Vape and Vote,Legalise Vaping Australia,128,2
100356216050100,Family First Party Australia,Family First Party Australia Ltd,127,2
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,126,37
156271657717715,Nature NSW,Nature Conservation Council of NSW,124,12
2383045228374491,CPAC Australia,Conservative Political Action Network Ltd,124,13
172381239442699,City of Parramatta,City of Parramatta,124,8
655173787829512,National Zakat Foundation Australia,NATIONAL ZAKAT FOUNDATION INCORPORATED,122,215
1681355008768255,Country Needs People,Country Needs People,118,1
44295826958,Australian Marine Conservation Society,Australian Marine Conservation Society,105,2
952274664938382,Phillip Thompson OAM MP - Serving Our Community,Philip Bruce Thompson,104,3
1300759363397798,Terry Young MP,Terry Young MP,≤100,2
141987795846694,Business SA,Business SA,≤100,2
308746806571901,Advance Australia,Advance Australia,≤100,25
655944151127130,SBS Cantonese 廣東話節目,Special Broadcasting Service,≤100,26
90728602000,Greening Australia,Greening Australia,≤100,13
145347352187764,UN Women Australia,UN Women Australia,≤100,8
119931654696956,Victorian Greens,Victorian Greens,≤100,6
93698535865,Toowoomba Region,Toowoomba Regional Council,≤100,3
250114505002383,Hume City Council,Hume City Council,≤100,5
104419985146228,SumOfUs Australia,SumOfUs Australia,≤100,1
209356172528167,Lateral Event Management,Lateral Events,≤100,18
104936647887384,IDEA,IDEA Academy,≤100,14
303724473086333,Advocacy Tasmania,Advocacy Tasmania,≤100,2
76212817063,CARE Australia,CARE Australia,≤100,18
1660905180833979,Parliament of Victoria,Parliament of Victoria,≤100,5
167010053353176,Armenian National Committee of Australia,Armenian National Committee of Australia,≤100,5
737553219634587,Bravus Mining and Resources,These ads ran without a disclaimer,≤100,1
