Location name,Amount spent (INR)
Andaman and Nicobar Islands,206
Andhra Pradesh,39640
Arunachal Pradesh,949
Assam,16639
Bihar,78103
Chandigarh,1957
Chhattisgarh,17887
Dadra and Nagar Haveli,1246
Delhi,47383
Goa,1672
Gujarat,52918
Haryana,40346
Himachal Pradesh,12842
Jammu and Kashmir,8582
Jharkhand,20430
Karnataka,90722
Kerala,14348
Lakshadweep,≤100
Madhya Pradesh,50091
Maharashtra,131231
Manipur,1800
Meghalaya,60104
Mizoram,832
Nagaland,873
Odisha,14854
Puducherry,1960
Punjab region,33598
Rajasthan,106346
Sikkim,1239
Tamil Nadu,43171
Telangana,39584
Tripura,6132
Unknown,≤100
Uttar Pradesh,128498
Uttarakhand,13365
West Bengal,55198
