Location name,Amount spent (PLN)
Greater Poland Voivodeship,4229
Kuyavian-Pomeranian Voivodeship,1892
Lesser Poland Voivodeship,3295
Lower Silesian Voivodeship,3426
Lublin Voivodeship,1751
Lubusz Voivodeship,993
Masovian Voivodeship,6886
Opole Voivodeship,914
Podkarpackie Voivodeship,1549
Podlaskie Voivodeship,937
Pomeranian Voivodeship,3017
Silesian Voivodeship,4308
Unknown,≤100
Warmian-Masurian Voivodeship,1033
West Pomeranian Voivodeship,3627
Łódź Voivodeship,2340
Świętokrzyskie Voivodeship,1267
