Location name,Amount spent (RON)
Alba County,461
Arad County,606
Argeș County,773
Bacău County,913
Bihor County,835
Bistrița-Năsăud County,349
Botoșani County,537
Brașov County,843
Brăila County,409
Bucharest,3678
Buzău County,527
Caraș-Severin County,360
Cluj County,2782
Constanța County,1030
Covasna County,314
Călărași County,297
Dolj County,956
Dâmbovița County,563
Galați County,757
Giurgiu County,227
Gorj County,628
Harghita County,515
Hunedoara County,709
Ialomița County,265
Iași County,1855
Ilfov County,557
Maramureș County,644
Mehedinți County,339
Mureș County,893
Neamț County,752
Olt County,364
Prahova County,1097
Satu Mare County,540
Sibiu County,556
Suceava County,880
Sălaj County,284
Teleorman County,318
Timiș County,1204
Tulcea County,229
Unknown,≤100
Vaslui County,366
Vrancea County,436
Vâlcea County,540
