Location name,Amount spent (THB)
Amnat Charoen,190
Ang Thong,105
Ayutthaya,1402
Bangkok,35561
Bueng Kan,144
Buriram,549
Chachoengsao,2889
Chai Nat,184
Chaiyaphum,343
Chanthaburi,293
Chiang Mai,2899
Chiang Rai,803
Chon Buri,19832
Chumphon,431
Kalasin,431
Kamphaeng Phet,894
Kanchanaburi,672
Khon Kaen,962
Krabi,358
Lampang,515
Lamphun,346
Loei,263
Lop Buri,280
Mae Hong Son,107
Maha Sarakham,433
Mukdahan,186
Nakhon Nayok,250
Nakhon Pathom,2532
Nakhon Phanom,867
Nakhon Ratchasima,1327
Nakhon Sawan,425
Nakhon Si Thammarat,1584
Nan,306
Narathiwat,291
Nong Bua Lam Phu,226
Nong Khai,227
Nonthaburi,1477
Pathum Thani,1377
Pattani,410
Phangnga,251
Phatthalung,435
Phayao,757
Phetchabun,315
Phetchaburi,462
Phichit,314
Phitsanulok,1844
Phrae,207
Phuket,4991
Prachin Buri,339
Prachuap Khiri Khan,367
Ranong,124
Ratchaburi,1032
Rayong,1216
Roi Et,496
Sa Kaeo,343
Sakon Nakhon,488
Samut Prakan,3624
Samut Sakhon,1253
Samut Songkhram,633
Saraburi,399
Satun,225
Sing Buri,130
Sisaket,533
Songkhla,4576
Sukhothai,341
Suphan Buri,424
Surat Thani,3561
Surin,516
Tak,237
Trang,483
Trat,109
Ubon Ratchathani,873
Udon Thani,763
Unknown,≤100
Uthai Thani,146
Uttaradit,205
Yala Province,306
Yasothon,269
