Location name,Amount spent (AUD)
Australian Capital Territory,2664
Jervis Bay Territory,≤100
New South Wales,30681
Norfolk Island,≤100
Northern Territory,890
Queensland,24990
South Australia,10776
Tasmania,2445
Unknown,≤100
Victoria,25866
Western Australia,11975
