Location name,Amount spent (EGP)
Al Sharqia Governorate,2409
Alexandria Governorate,882
Aswan Governorate,126
Asyut Governorate,391
Beheira Governorate,574
Beni Suef Governorate,300
Cairo Governorate,3344
Dakahlia Governorate,920
Damietta Governorate,273
Faiyum Governorate,496
Gharbia Governorate,844
Giza Governorate,1013
Ismailia Governorate,242
Kafr el-Sheikh Governorate,402
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,345
Monufia Governorate,517
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,207
Qalyubia Governorate,991
Qena Governorate,224
Red Sea Governorate,≤100
Sohag Governorate,386
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
