Location name,Amount spent (PYG)
Alto Paraguay Department,372
Alto Paraná Department,172624
Amambay Department,8612
Asunción,300836
Boquerón department,2427
Caaguazú Department,138432
Caazapá Department,3349
Canindeyú Department,8961
Central Department,1053456
Concepción Department (Paraguay),9804
Cordillera Department,20899
Guairá Department,12360
Itapúa Department,23172
Misiones Department,56442
Paraguarí Department,9973
Presidente Hayes Department,12698
San Pedro Department,10063
Unknown,≤100
Ñeembucú Department,16819
