Location name,Amount spent (TRY)
Adana Province,779
Adıyaman Province,124
Afyonkarahisar Province,253
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,1243
Antalya Province,959
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,272
Ağrı Province,≤100
Balıkesir Province,288
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,835
Denizli Province,250
Diyarbakır Province,215
Düzce Province,105
Edirne Province,179
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,247
Gaziantep Province,413
Giresun Province,115
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,531
Isparta Province,≤100
Istanbul Province,4605
Iğdır Province,≤100
Kahramanmaraş Province,264
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,441
Kilis Province,≤100
Kocaeli Province,288
Konya Province,345
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,151
Manisa Province,324
Mardin Province,≤100
Mersin Province,504
Muğla Province,285
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,152
Osmaniye Province,106
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,300
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,227
Tokat Province,112
Trabzon Province,173
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,114
Çanakkale Province,153
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1399
Şanlıurfa Province,226
Şırnak Province,≤100
