Location name,Amount spent (USD)
Azuay Province,416
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,236
Cotopaxi Province,179
El Oro Province,698
Esmeraldas Province,211
Galápagos Province,≤100
Guayas Province,2136
Imbabura Province,226
Loja Province,307
Los Ríos Province,578
Manabí Province,695
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,102
Pichincha Province,1221
Santa Elena Province,129
Santo Domingo de los Tsáchilas Province,133
Sucumbíos Province,≤100
Tungurahua Province,369
Unknown,≤100
Zamora-Chinchipe Province,≤100
