Location name,Amount spent (IDR)
Aceh,1117572
Bali,2207883
Bangka–Belitung Islands,471183
Banten,3507489
Bengkulu,995037
Central Java,9494522
Central Kalimantan,1013411
Central Sulawesi,1522951
East Java,14291221
East Kalimantan,2668363
East Nusa Tenggara,2121429
Gorontalo,865840
Jakarta,5175664
Jambi,1360117
Lampung,2384639
Maluku,875903
North Kalimantan,356542
North Maluku,635273
North Sulawesi,2303470
North Sumatra,4956417
Papua (province),1131371
Riau,3189721
Riau Islands Province,968153
South Kalimantan,1378268
South Sulawesi,3181300
South Sumatra,3056316
Southeast Sulawesi,1131202
Special Region of Yogyakarta,1335258
Unknown,418
West Java,12752146
West Kalimantan,1939467
West Nusa Tenggara,2241108
West Papua,597189
West Sulawesi,537254
West Sumatra,1647575
