Location name,Amount spent (EUR)
Alsace,1286
Aquitaine,2622
Auvergne,774
Basse-Normandie,958
Bourgogne,1010
Bretagne,2044
Centre,1556
Champagne-Ardenne,877
Corse,354
Franche-Comté,672
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,1220
Languedoc-Roussillon,2524
Limousin,434
Lorraine,1835
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,2070
New Caledonia,≤100
Nord-Pas-de-Calais,2697
Pays de la Loire,2110
Picardie,1288
Poitou-Charentes,1176
Provence-Alpes-Côte d'Azur,4685
Reunion Island,≤100
Rhône-Alpes,4302
Unknown,≤100
Île-de-France,8725
