Location name,Amount spent (BRL)
Acre (state),239
Alagoas,989
Amapá,393
Amazonas,3992
Bahia,4926
Ceará,3911
Espírito Santo,1924
Federal District,2253
Goiás,4451
Maranhão,2270
Mato Grosso,2117
Mato Grosso do Sul,1098
Minas Gerais,10837
Paraná,4164
Paraíba,1366
Pará,2447
Pernambuco,6997
Piauí,1241
Rio Grande do Norte,1402
Rio Grande do Sul,6449
Rio de Janeiro (state),9994
Rondônia,705
Roraima,234
Santa Catarina,4147
Sergipe,1341
São Paulo (state),29686
Tocantins,503
Unknown,≤100
