Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
101538412538521,شطرنج / مع محمد صابونجي,إياد خالد,244453,30
1428873024044736,المدن - almodon,المدن - almodon‎,189970,11
102023711572671,أساس ميديا -  Asas Media,asasmedia,89681,22
106197498149118,لبنان الكبير,Grand Lebanon,34954,7
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,25836,4
101241044906111,هنا لبنان,هنا لبنان,21277,7
107266890756055,Nicolas Chikhani Finance,Nicolas Chikhani Finance,15198,1
1031517763602384,Municipality of Kartaba - بلدية قرطبا,Municipality of Kartaba - بلدية قرطبا,7599,1
110470091436602,Ici Beyrouth,Ici beyrouth,6079,2
204309706385271,Maharatnews,Maharat Foundation,5091,6
691246177723161,CGTN Arabic,These ads ran without a disclaimer,4559,2
106821968055687,Leila Dagher,Leila Dagher,3040,1
101845832471383,Jbeil District - قضاء جبيل,Jbeil District,3040,3
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,3040,1
2082052578716332,محمد شفيق حمود,Arab Window,3040,1
105436115590603,Sahat - ساحات,These ads ran without a disclaimer,1624,1
101202775223325,Connective Cities- MENA,These ads ran without a disclaimer,1520,1
2509759842418472,LebTalks,Lebtalks,1520,2
101313852689002,أوكرانيا.ua,These ads ran without a disclaimer,≤100,1
204915812876645,CEIBS,These ads ran without a disclaimer,≤100,1
111321614950608,منصة قدس بلس,These ads ran without a disclaimer,≤100,1
102130299317180,Easy Scanner-G,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
106518195610937,1111_ta,These ads ran without a disclaimer,≤100,1
105257432441286,T1215-7,These ads ran without a disclaimer,≤100,1
574493653232980,Narayan Patel MLA,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
102570761484258,Asharq Business اقتصاد الشرق,These ads ran without a disclaimer,≤100,1
204309706385271,Maharatnews,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,2
