Location name,Amount spent (MXN)
Aguascalientes,9068
Baja California,26160
Baja California Sur,6211
Campeche,26613
Chiapas,16104
Chihuahua,24703
Coahuila de Zaragoza,249790
Colima,4619
Distrito Federal,259814
Durango,11048
Guanajuato,24903
Guerrero,9692
Hidalgo,12171
Jalisco,236162
Michoacán de Ocampo,23569
Morelos,15487
Nayarit,5141
Nuevo León,117716
Oaxaca,15520
Puebla,30304
Querétaro Arteaga,19573
Quintana Roo,25465
San Luis Potosi,20641
Sinaloa,8277
Sonora,29333
State of Mexico,253150
Tabasco,7892
Tamaulipas,28655
Tlaxcala,4983
Unknown,354
Veracruz,31350
Yucatán,26760
Zacatecas,6747
