Location name,Amount spent (MYR)
Johor,940
Kedah,273
Kelantan,171
Kuala Lumpur,616
Labuan,≤100
Malacca,135
Negeri Sembilan,185
Pahang,192
Penang,177
Perak,315
Perlis,≤100
Putrajaya,≤100
Sabah,247
Sarawak,210
Selangor,994
Terengganu,152
Unknown,≤100
