Location name,Amount spent (PLN)
Greater Poland Voivodeship,6703
Kuyavian-Pomeranian Voivodeship,3180
Lesser Poland Voivodeship,5325
Lower Silesian Voivodeship,4876
Lublin Voivodeship,2484
Lubusz Voivodeship,1789
Masovian Voivodeship,10858
Opole Voivodeship,1117
Podkarpackie Voivodeship,2220
Podlaskie Voivodeship,1227
Pomeranian Voivodeship,3988
Silesian Voivodeship,6213
Unknown,≤100
Warmian-Masurian Voivodeship,1697
West Pomeranian Voivodeship,2750
Łódź Voivodeship,3350
Świętokrzyskie Voivodeship,1321
