Location name,Amount spent (PLN)
Greater Poland Voivodeship,4869
Kuyavian-Pomeranian Voivodeship,2911
Lesser Poland Voivodeship,4449
Lower Silesian Voivodeship,4002
Lublin Voivodeship,2065
Lubusz Voivodeship,1204
Masovian Voivodeship,9468
Opole Voivodeship,936
Podkarpackie Voivodeship,1832
Podlaskie Voivodeship,1179
Pomeranian Voivodeship,3428
Silesian Voivodeship,5959
Unknown,≤100
Warmian-Masurian Voivodeship,1601
West Pomeranian Voivodeship,2387
Łódź Voivodeship,2960
Świętokrzyskie Voivodeship,1110
