Location name,Amount spent (PYG)
Alto Paraguay Department,646
Alto Paraná Department,236912
Amambay Department,15624
Asunción,155443
Boquerón department,23957
Caaguazú Department,85679
Caazapá Department,32262
Canindeyú Department,17125
Central Department,344241
Concepción Department (Paraguay),22030
Cordillera Department,33683
Guairá Department,27132
Itapúa Department,96139
Misiones Department,42983
Paraguarí Department,16155
Presidente Hayes Department,11511
San Pedro Department,49858
Unknown,≤100
Ñeembucú Department,9467
