Location name,Amount spent (HUF)
Baranya County,144124
Borsod-Abaúj-Zemplén County,200474
Budapest,914234
Bács-Kiskun County,174116
Békés County,125748
Csongrád County,172832
Fejér County,155133
Győr-Moson-Sopron County,155757
Hajdú-Bihar County,210075
Heves County,112771
Jász-Nagykun-Szolnok County,123005
Komárom-Esztergom County,112427
Nógrád County,61879
Pest County,367200
Somogy County,100386
Szabolcs-Szatmár-Bereg County,178541
Tolna County,81472
Unknown,108
Vas County,90406
Veszprém County,115069
Zala County,103057
