Location name,Amount spent (USD)
Alabama,8950
Alaska,2288
American Samoa,≤100
Arizona,19824
Arkansas,7090
California,98443
Colorado,19604
Connecticut,9637
Delaware,3095
Florida,70934
Georgia,22010
Guam,≤100
Hawaii,3056
Idaho,4200
Illinois,38486
Indiana,21815
Iowa,8084
Kansas,6282
Kentucky,9857
Louisiana,15047
Maine,4930
Maryland,17091
Massachusetts,14604
Michigan,25910
Minnesota,15855
Mississippi,6742
Missouri,20125
Montana,5808
Nebraska,4780
Nevada,7463
New Hampshire,4107
New Jersey,24845
New Mexico,4685
New York,78532
North Carolina,22946
North Dakota,2471
Northern Mariana Islands,≤100
Ohio,29141
Oklahoma,11708
Oregon,11849
Pennsylvania,36986
Puerto Rico,≤100
Rhode Island,2180
South Carolina,12220
South Dakota,1526
Tennessee,22968
Texas,94663
Unknown,≤100
Utah,6214
Vermont,1737
Virgin Islands (U.S.),≤100
Virginia,30225
Washington,22265
"Washington, District of Columbia",6309
West Virginia,4698
Wisconsin,13944
Wyoming,1156
