Location name,Amount spent (NOK)
Akershus,9351
Aust-Agder,1905
Buskerud,4263
Finnmark,1056
Hedmark,2840
Hordaland,9842
Møre og Romsdal,4182
Nord-Trøndelag,1711
Nordland,3235
Oppland,2530
Oslo,10195
Rogaland,5664
Sogn og Fjordane,1264
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,5837
Telemark,2809
Troms,2921
Unknown,≤100
Vest-Agder,2718
Vestfold,3334
Østfold,4655
