Location name,Amount spent (RON)
Alba County,622
Arad County,827
Argeș County,1304
Bacău County,1199
Bihor County,1087
Bistrița-Năsăud County,496
Botoșani County,631
Brașov County,1571
Brăila County,594
Bucharest,4854
Buzău County,927
Caraș-Severin County,682
Cluj County,1955
Constanța County,1241
Covasna County,444
Călărași County,363
Dolj County,1056
Dâmbovița County,899
Galați County,1060
Giurgiu County,299
Gorj County,691
Harghita County,692
Hunedoara County,1295
Ialomița County,464
Iași County,2533
Ilfov County,750
Maramureș County,866
Mehedinți County,656
Mureș County,1127
Neamț County,791
Olt County,509
Prahova County,1591
Satu Mare County,909
Sibiu County,757
Suceava County,1119
Sălaj County,408
Teleorman County,626
Timiș County,2416
Tulcea County,337
Unknown,≤100
Vaslui County,569
Vrancea County,814
Vâlcea County,730
