Location name,Amount spent (HUF)
Baranya County,131795
Borsod-Abaúj-Zemplén County,154799
Budapest,662574
Bács-Kiskun County,150998
Békés County,95126
Csongrád County,146721
Fejér County,134959
Győr-Moson-Sopron County,147861
Hajdú-Bihar County,137985
Heves County,138429
Jász-Nagykun-Szolnok County,91701
Komárom-Esztergom County,72259
Nógrád County,51887
Pest County,285974
Somogy County,85933
Szabolcs-Szatmár-Bereg County,118398
Tolna County,71937
Unknown,≤100
Vas County,66398
Veszprém County,88658
Zala County,82280
