Location name,Amount spent (SEK)
Blekinge County,4712
Dalarna County,10433
Gotland County,2236
Gävleborg County,9490
Halland County,10226
Jämtland County,4990
Jönköping County,11078
Kalmar County,7150
Kronoberg County,6768
Norrbotten County,8746
Skåne County,41787
Stockholm County,79607
Södermanland County,9462
Unknown,≤100
Uppsala County,14863
Värmland County,8948
Västerbotten County,10038
Västernorrland County,7819
Västmanland County,8646
Västra Götaland County,55139
Örebro County,10224
Östergötland County,14185
