Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,660
Bicol Region,15287
Cagayan Valley,2547
Calabarzon,20384
Caraga,1660
Central Luzon,17824
Central Visayas,7723
Cordillera Administrative Region,1288
Davao Region,3274
Eastern Visayas,2534
Ilocos Region,2878
Metro Manila,30639
Mimaropa,2657
Northern Mindanao,4047
Soccsksargen,2389
Unknown,≤100
Western Visayas,6547
Zamboanga Peninsula,1655
