Location name,Amount spent (EGP)
Al Sharqia Governorate,1804
Alexandria Governorate,1414
Aswan Governorate,198
Asyut Governorate,507
Beheira Governorate,678
Beni Suef Governorate,312
Cairo Governorate,3249
Dakahlia Governorate,1404
Damietta Governorate,491
Faiyum Governorate,302
Gharbia Governorate,1207
Giza Governorate,1018
Ismailia Governorate,258
Kafr el-Sheikh Governorate,640
Luxor Governorate,141
Matrouh Governorate,≤100
Minya Governorate,576
Monufia Governorate,985
New Valley Governorate,≤100
North Sinai Governorate,112
Port Said Governorate,344
Qalyubia Governorate,1064
Qena Governorate,373
Red Sea Governorate,122
Sohag Governorate,611
South Sinai Governorate,≤100
Suez Governorate,157
Unknown,≤100
