Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
100132752831088,Natalia López Fuentes,Natalia López Fuentes,2943770,14
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,1496360,15
108576731393581,Juliana Enciso,Juliana Enciso,1452306,10
446035012834131,Tata Hernández,Tata Hernández,1007661,4
1059459884138781,Mauricio Tobón Franco.,Minuto 30 S.A.S.,1000443,2
162949777243451,Andrés Julián,Andrés Julián Rendon,971606,7
308580499200723,Alcaldía de Medellín,Alcaldia de Medellìn,963297,10
183025852044152,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,792742,20
251292808253299,Canadian College,Canadian College,646383,18
503621983303342,Oscar Mauricio Toro,Oscar Mauricio Toro,604585,142
266563730155332,Juan Diego Gomez Jimenez,Get Social,467380,6
187191734807787,Mario Fernández Alcocer,Mario Fernández Alcocer,388328,8
438113889610097,Hosman Yaith Martínez Moreno,Hosman Yaith Martínez Moreno,373018,47
108233262091178,David Islem R,David Islem R,363231,4
309383129136101,Secretaría Gobierno de Bogotá,Secretaría Gobierno de Bogotá,314192,8
1589652347763879,Aquileo Medina A,Aquileo Medina A,313208,4
103754197881668,Esteban Restrepo,Esteban Restrepo,309432,2
100364727989389,Said Bitar,Said Bitar,300306,2
112155252163421,Sebastián López V.,Sebastián López V.,294274,4
218937054791364,Juan Jiménez Lara,Juan Jiménez Lara,283758,4
168743617253,Greenpeace Colombia,Greenpeace Colombia,272702,8
113234113483957,Mauricio Muñoz,Mauricio Muñoz,272533,3
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,258563,5
115922544823271,Miyerlandi Torres A,Miyerlandi Torres A,251411,21
286568181368830,Jhon Ortega,Jhon Ortega,250260,10
256488875025665,Juan Bocanegra,Juan Bocanegra,250013,2
497475647076975,Fabian Oviedo,Fabian Oviedo,236984,9
381403022031226,Steven Cárdenas,Steven Cárdenas,231727,61
108228068238348,Diego Caicedo,Diego Caicedo,222956,12
969143216462972,Felipe Cañizalez,Felipe Cañizalez,205801,2
590428924681421,Soydiegotamayo,Soydiegotamayo,199708,5
112602178102955,Victorioso,Victorioso,199708,4
100637473120318,Orden y libertad,Orden y libertad,198249,12
103138861936410,René Quintero,René Quintero,197292,5
1649204585296525,Juan David Valderrama,Juan David Valderrama,191567,6
100351841692214,Coronel Jorge Gallego,Coronel Jorge Gallego,188193,6
123243941056130,Carlos Amaya,Carlos Amaya,177344,1
102649172879833,Colombia al Día,Colombia al Día,174962,55
112505265094567,Mario Gutiérrez,Mario Gutiérrez,171084,2
1597659560553215,Colombia+20,COMUNICAN SAS EL ESPECTADOR,165064,4
1491399671151994,Nancy Patricia Gutiérrez,These ads ran without a disclaimer,163621,1
113661078464726,Dagoberto Marín - Neiva el futuro es hoy,Construespacios,158125,3
910025949090028,César Rojas Ayala,César Rojas Ayala,157661,4
107405449071319,Con la suya,Con la suya,155055,22
