Location name,Amount spent (RON)
Alba County,506
Arad County,484
Argeș County,943
Bacău County,732
Bihor County,1062
Bistrița-Năsăud County,386
Botoșani County,405
Brașov County,877
Brăila County,399
Bucharest,3931
Buzău County,612
Caraș-Severin County,407
Cluj County,1012
Constanța County,1129
Covasna County,209
Călărași County,303
Dolj County,761
Dâmbovița County,404
Galați County,749
Giurgiu County,227
Gorj County,446
Harghita County,380
Hunedoara County,445
Ialomița County,235
Iași County,912
Ilfov County,568
Maramureș County,566
Mehedinți County,221
Mureș County,640
Neamț County,568
Olt County,306
Prahova County,1216
Satu Mare County,334
Sibiu County,583
Suceava County,611
Sălaj County,251
Teleorman County,269
Timiș County,857
Tulcea County,255
Unknown,≤100
Vaslui County,378
Vrancea County,463
Vâlcea County,381
