Location name,Amount spent (ARS)
Buenos Aires,856259
Catamarca,61508
Chaco,62095
Chubut,67162
Ciudad Autónoma de Buenos Aires,201549
Corrientes,32623
Córdoba,1430372
Entre Rios,49647
Formosa,17523
Jujuy,60526
La Pampa,44326
La Rioja,16238
Mendoza,27690
Misiones,19597
Neuquén,56476
Río Negro,26314
Salta,77257
San Juan,43380
San Luis,40411
Santa Cruz,5278
Santa Fe,342009
Santiago del Estero,14692
Tierra del Fuego,68232
Tucuman,59242
Unknown,≤100
