Location name,Amount spent (DKK)
Capital Region of Denmark,39580
Central Denmark Region,23126
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,10578
Region of Southern Denmark,21281
Unknown,251
Zealand Region,16210
